text,label,lat,lng,created_at
"Het stinkt hier en het wordt steeds viezer. Wat is er met deze hoek?

Er staat zoveel troep van mensen op straat",Afval,4.89280129,52.39561195,2018-11-09 14:07:39.095496+00:00
Lelijke grijze grote bovengrondse papiercontainer op het plein is de afgelopen week helemaal vol. Graag legen,Afval,4.78755341959186,52.36693487,2019-01-09 15:50:33.310583+00:00
"Vraag: aan de bovenzijde van het pand zit een hijsbalk, mag deze verwijderd worden?",Overlast in de openbare ruimte,4.85719762,52.3598683222524,2019-03-08 08:31:39.250822+00:00
Verkeersbord is omgevallen,"Wegen, verkeer, straatmeubilair",4.88753199577332,52.3785939094679,2018-09-12 19:30:05.628566+00:00
verzakte stoeptegels,"Wegen, verkeer, straatmeubilair",4.85115051269531,52.35903521,2018-08-09 08:43:46.586793+00:00
Er staat heel veel grof vuil al voor 2 weken op 2 locaties bij ons voor de deur,Afval,4.8510139,52.371307373047,2019-04-26 07:43:34.011824+00:00
Er zit een gat in de stoep,"Wegen, verkeer, straatmeubilair",4.77762141,52.33721416,2019-02-25 10:26:44.446894+00:00
"Wij hebben hier problemen met het parkeren van de fiets. Er is genoeg ruimte maar door gebrek aan genoeg fietsenrekken wordt het een zooitje, vallen fietsen om en wordt de doorgang belemmerd. 

het plaatsen van een fietsenrek zou makkelijk passen en een groeiend probleem oplossen.","Wegen, verkeer, straatmeubilair",4.91178994,52.39269823,2019-01-10 08:23:32.580531+00:00
Graag beide containers zsm legen.,Afval,4.8890972137451,52.34730164,2018-09-08 14:40:03.806621+00:00
door een ongeluk of vandalisme is de bak omgetrapt waar door de container sinds dien steeds omvalt en niet goed staat de container staat naast geparkeerde auto's kan zomaar schade aan de auto's toe brengen graag hier naar kijken aub.,Afval,4.83611941337586,52.3491427,2019-03-01 08:49:43.397498+00:00
huisvuilcontainers en plasticcontainer op de hoek van de straat zijn vol,Afval,4.92615105,52.39295814,2019-01-23 14:13:06.368090+00:00
Bouwafval dat naast de bakken wordt gegooid. ,Afval,4.90071073,52.37584244,2018-12-04 12:41:34.066865+00:00
Grof vuil,Afval,4.8568153381348,52.34847192,2019-01-11 15:40:10.122821+00:00
Er staat een snorfiets en een scooter voor de balkon bewoner heeft last van benzine geur scooter en snorfiets wordt al lang niet gebruikt,Overlast in de openbare ruimte,4.89284563,52.3515421390549,2019-02-21 12:11:41.009176+00:00
Het is elke dag raak!!!!!,Afval,4.8846621513367,52.41012941,2018-11-29 18:48:56.208657+00:00
Auto staat tegen de tuin aan geparkeerd.,Overlast in de openbare ruimte,4.93613692,52.37619063,2018-11-27 15:12:40.342627+00:00
"Straat op twee plaatsen bij 101 verzakt. De plassen blijven staan en autos rijden door deze plassen waardoor de gevel steeds vies wordt. 

Graag ophogen zodat water weer naar de put loopt","Wegen, verkeer, straatmeubilair",4.8604021072388,52.3615601,2019-01-21 10:01:14.365357+00:00
Er liggen matrassen en oude tv en er komt meer bij. Dit ligt er al 2 weken.,Afval,4.88312624,52.37717219,2019-02-28 09:28:38.083540+00:00
De containers zitten vol en de vuilniszakken stapelen zich op naast de containers.,Afval,4.92253976,52.39181418,2019-04-09 11:27:49.984117+00:00
